institute_code,institute_name,address,mobile_no,ein,email,division
50888,"Benee,s Academy Of Baking Science and Pastry Arts","118, Bashiruddin Road, Kalabagan Dhaka-1205",1911667544,,Nippon.na@gmail.com,DHAKA
53098,"BGIFT Institute of Science and Technology (BIST), Gazipur","Chandana, Chowrasta, Gazipur City Corporation, Gazipur",,,aziz.niet@gmail.com,DHAKA
50990,"Bharasha Institute of Social Development and Human Advancement (BISDHA), Dhaka","WASI Tower (11th Floor), House# 572/K, Matikata, ECB Chattar, Mirpur DOHS Road, Dhaka Cantonment, Dhaka-1206",1713263929,,bharasa.ins@gmail.com,DHAKA
40068,"Bhola Technical Training Centre (TTC), Bhola","Banglabazar, Bhola",1712313424,,ttcbhola@gmail.com,BARISAL
50358,"Bismillah Technical Training & Testing Institute,Turag, , Dhaka","House#53, Block-D, Road#7, Vathulia,Kamarpara, Turag, , Dhaka. Mob- 01713-020635, e-mail: bismillah2000@gmail.com",1713020635,,bismillah2000@gmail.com,DHAKA
20222,Bogra Institute of Technology (BIT),"Chackfarid, Callony, Bogra",,,bit bogra@gmail.com,RAJSHAHI
20099,Bogura Polytechnic Institute,Bogra,,,marfatnew@gmail.com,RAJSHAHI
20045,"Bogura Technical Training Center, Bogura","Nishindara, Bogra",,,,RAJSHAHI
50650,"Borak Polytechnic Institute, Dhaka","Holding no. 07/1296/1, Road - 08, Ward-07, Goshbag, Ashulia, Dhaka",1708800809,,vp@borakpolytechnic.edu.bd,DHAKA
31080,"BRAC Dakkhota Unnoyon Proshikkon Kendra, Magura","Mirpara, Magura",1730374439,,zrsiddike@gmail.com,KHULNA
14140,"BRAC Dakkhota Unnoyon Proshikkon Kendra, Nilphamari","BRAC Feed mill, Fultala Sutipara, Nilphamari Sadar",1730374439,,zrsiddike@gmail.com,RANGPUR
74063,"BRAC Dokkhota Unnoyon Proshikkhon Kendro, Cox's Bazar","Salam Mension, in front of Modern Hachari,South Kolatoli Road, Cox’s Bazar",1730374439,,zillur.s@brac.net,CHITTAGONG
53152,"BRAC Dokkhota Unnoyon Proshikkhon Kendro, Gazipur","House- 14, Ward- 13, Block- E, Nawjore, Dhaka- Tangail Highway,, Gazipur.",1730374439,,zillur.s@brac.net,DHAKA
50822,"BRAC Dokkhota Unnoyon Proshikkhon Kendro, Savar","East Katlapur, Ward# 06 (Near ISKCON Mandir), Savar, Dhaka",1730374439,,zillur.s@brac.net,DHAKA
53153,"BRAC Dokkhota Unnoyon Proshikkhon Kendro, Tongi, Dhaka","Holding No- 93, Khartali Bazar, Sataish Road, Tongi,",1730374439,,"zillur.s@brac,net",DHAKA
50887,"BRAC-Institute of Skills Development (BRAC-ISD), Dhaka","Ashkona, Uttara, Dhaka",,,manzurul.a@brac.net,DHAKA
64056,Brahmanbaria Technical Training Center,"Bhatshala ,Brahmanbaria",1775948662,,bbariattc@gmail.com,CHITTAGONG
61131,"Brigadiar Majumder Bidyaniketen High School, Sylhet","Jaintapur, Sylhet",,,bmbschool2000@gmail.com,SYLHET
50987,"Bright Care Training Institute (BCTI), Badda, Dhaka-1212","Bright Care Training Institute (BCTI), Dhaka, House# 21/A, Road-2, Block-A, 5th & 6th Floor, Johurul Islam City, Aftabnagar, Badda, Dhaka-1212,",1612090950,,brightcaregivers21@gmail.com,DHAKA
72007,"BS POLYTECHNIC INSTITUTE, KAPTAI","Kaptai, RAngamati",,,,CHITTAGONG
50559,B_desh Korea Inst. of Info. & Communication Technology,"Bangladesh Computer Council, BCC Bhaban, Agargaon, Shere Bangla Nagar, Dhaka-1207",,,marfatnew@gmail.com,DHAKA
50892,"CADD CORE Training & IT Services, Phanthopath, Dhaka","69/G, (3rd Floor), Phanthopath, Dhaka-1215",1711486779,,,DHAKA
50893,"Care Training Institute of Sir William Beveridge Foundation, Dhaka","52/1 New Eskaton Road, Hasan Holdings (6th floor), Dhaka-1000",1730057400,,hob@beveridgefoundation.org,DHAKA
50836,"Caregiver Institute of Bangladesh (CIB), Dhaka","House No-53, Road No-08, Nabinagar Housing, Mohammadi Housing Ltd, Mohammadpur, Dhaka-1207",1711130914,,cibmohammadpur@gmail.com,DHAKA
42180,Caregivers Institute of Barishal(CIB) Barishal,"House-1136, Sharif Mansion (3rd Floor), (Near Khashipur Surovi Pump), Nothullabad, Barishal",1769766666,,cibbarishalsadar@gmail.com,BARISAL
53148,"Center For Mass Education in Science(CEMES), Sreepur, Gazipur","Kayetpara, sreepur-1703",,,cmesbd@yahoo.com,DHAKA
53089,Center of Excellence for Leather Skill Bangladesh Ltd,"Kaliakair, Gazipur",,,,DHAKA
5011023,Centre For Skill Development,"19/1 Umees Datta Road, Bakshi Bazar, Dhaka-1211",,,write.csd@gmail.com,DHAKA
50555,Centre of Excellence Agro Food Skills Foundation,"8th Floor, 19/2, West Panthapath, Dhaka",,,ceafs@gmail.com,DHAKA
57345,Centre of Excellence Agro Food Skills Foundation,"Sadar, Mymensingh",,,ceafs@gmail.com,DHAKA
42161,"Centre of Excellence Agro Food Skills Foundation, Barisal","Sadar, Barisal",,,chairman.ceaf@gmail.com,BARISAL
509999,"Centre of Excellence Agro Food Skills Foundation, Dhaka","8th Floor, 19/2, West Panthapath, Dhaka",,,ceafs@gmail.com,DHAKA
18191,"Centre of Excellence Agro Food Skills Foundation, Gaibandha","Sadar, Gaibandha",,,marfatnew@gmail.com,RANGPUR
57345,"Centre of Excellence Agro Food Skills Foundation, Mymensingh","Middle Barera, Mymensingh",,,ceafs@gmail.com,DHAKA
50942,"Centre of Excellence Agro Food Skills Foundation, Salim Centre, Panthapath, Dhaka","8th Floor, 19/2, West Panthapath, Dhaka",,,ceafs@gmail.com,DHAKA
50627,"Centre of Excellence Bangladesh Apparel Industry (CEBAI), SAVAR","Ashulia, Savar, Dhaka",,,,DHAKA
50837,"Centre of Excellence for Pharmaceutical Sector (CEPS)-Bangladesh, Khagan, Savar, Dhaka","Khagan, Savar, Dhaka",1861917591,,asaeedbd62@gmail.com,DHAKA
66077,Chandpur Institute of Marine Technology (IMT),"Islampur, Gashtola, Chandpur",1711976709,,imtcha5@gmail.com,CHITTAGONG
22051,Chapai Nawabganj Technical Training Center,"Baragahria Bazar, Chapainawabganj",1716932020,,ttcchapainawabganj@gmail.com,RAJSHAHI
70999,Chittagong Mohila Technical Training Centre,Chittagong,1990198268,,cmttc2006@gmail.com,CHITTAGONG
70048,Chittagong Polytechnic Institute,"Nasirabad, Chittagong",,,marfatnew@gmail.com,CHITTAGONG
50101011,Choukos,"H #18, R-02, Mohammodia Housing Socity, Mohammadpur, Dhaka",,,md.mustafiz@gmail.com,DHAKA
29056,Chuadanga Technical Training Center,"Vimrulla, Chuadanga",1720586572,,ttcchuadanga@gmail.com,KHULNA
54276,"Comfit Compozit Knit Ltd, Mirzapur","Gorai, Mirzapur, Tangail",,,jahangirranj.alam@yahoo.com,DHAKA
48042,Confidenc Polytechnic Institute,"73 joyra College Road, Manikganj Bustand, Manikganj",,,marfatnew@gmail.com,DHAKA
50896,"Confidence Training Institute, Uttarkhan Mazar, Dhaka","208/B Kuripara, Uttarkhan Mazar, Uttar Khan, Dhaka-1230",1716986585,,ikarimptc@gmail.com,DHAKA
53202,"Construction Skill Training Centre (CSTC), Gazipur","Ward no-22, Gajari Para, Vhawal, Joydebpur, Gazipur",1703827890,,luthfur1963@yahoo.co.uk,DHAKA
74009,Cox's Bazar Polytechnic Institute,"Cox,s Bazar",,,"Cox,s Bazar@gmail.com",CHITTAGONG
50826,"Creative IT Institute, Dhaka","Rd # 4, Dhakanmondi, Dhaka",,,info@creativeit-inst.com.bd,DHAKA
50930,"CRP Madhab Memorial Vocational Training Institute, Savar","CRP Ganakbari, Shreepur, Asulia, Savar, Dhaka",,,,DHAKA
35203,"CSS Hope Technical Institute (CSSHTI), Khulna","87, MA Bari Road, Gollamari, Khulna",1760088156,,hti@cssbd.org,KHULNA
65034,CUMILLA Technical Training Centre,"Coatbari, Cumilla",1711585835,,principalcomillattc@gmail.com,CHITTAGONG
17182,"DECENT Job & Training Institute ( DJTI ) , Kurigram","Fish Farm, KC Road, Sadar, Kurigram",,,,RANGPUR
50159,Desh Polytechnic College,"Mirpur-11, Busstand",,,dpcmas@gmail.com,DHAKA
50605,"Dhaka Ahasania Mission (DAM) VTI, Mirpur","Plot -B-91, Road # E, Eastern Housing, Pallabi, Dhaka",1736323313,,marfatnew@gmail.com,DHAKA
50088,Dhaka Mohila Polytechnic Institute,"Agargaon, Sher-E-Bangla Nagar",,,dhakampi@gmail.com,DHAKA
50117,Dhaka Polytechnic Institute,Bashaboo,,2011,dhakapolitechnic@yahoo.com,DHAKA
123333,"Dinajpur Institute of Science and Technology(DIST), Dinajpur","Paharpur, Sadar, Dinajpur",,,distbd@gmail.com,RANGPUR
13112,"Dinajpur Technical Training Centre (TTC), Dinajpur","Mathasagor, Sheikhpura, Dinajpur",1750746706,,dinajpurttc@gmail.com,RANGPUR
50827,"DISA Institute of Science and Technology (DIST), Mirpur-12","Sofura Tower, Plot#45, Road#07,Block#A, Pallabi, Mirpur-12 , Dhaka.",1708449950,,dist@disabd.org,DHAKA
50838,"Dolphin Training Centre, Ashulia, Savar, Dhaka","Banglabazar, Norshingpur, Ashulia, Savar, Dhaka",1713063877,,dolphincenter01@gmail.com,DHAKA
55240,"Eco Center for Skills Development (ECSD), Jamalpur","Narayanpur, Titpolla, Jamalpur.",1712-366204,,ecsd.jamalpur@gmail.com,DHAKA
12221,"Eco Institute of Technology (EIT), Thakurgaon","Collegepara, Thakurgaon",1912307022,,eit.thakurgaon@gmail.com,RANGPUR
16216,"Engineering Institute of Technology (EIT), Rangpur","House -30, Road-01, Ward-26, Alam Nagar, Robartsongonj, Rangpur",1743007698,,eitrangpur@gmail.com,RANGPUR
53113,Fahim Computer and Training Academy,"Jaina Bazar, Sreepur, Gazipur Mob: 01914575120",,,fahim.computer11@gmail.com,DHAKA
51079,Fakir Apparals Limited,"A-127-131, BSCIC I/A, Anayetnagar, Shasongaon, Fatullah Narayanganj",,,info@fakirapparls.com,DHAKA
34009,Faridpur Institute of Marine Technology,"Adampur, Faridpur",1795136363,,imt.faridpur.gov@gmail.com,DHAKA
46026,Faridpur Polytechnic Institute,"Baitul Aman, Faridpur",,,principal.fpi@gmail.com,DHAKA
46013,Faridpur Technical Training Centre,Faridpur,1715107077,,faridpurttc@gmail.com,DHAKA
69019,Feni Computer Institute,Feni,,,,CHITTAGONG
69015,"Feni Polytechnic Institute, Feni",feni,1710717085,,fenipoly69015@gmail.com,CHITTAGONG
69014,Feni Technical School and College,feni,,,feni.tsc@gmail.com,CHITTAGONG
50677,"Food Cadet Lipie's Uphoaria Institute of Kulinary Arts, Dhaka","3/2, Block-d, Lalmatia, Dhaka",,,lipieuphoria@gmail.com,DHAKA
57346,"Fulpur Agro Industris Limited, Mymensingh","Mymensingh Road, Karaha, Fulpur, Mymensingh",1713433394,,fufpuragro@gmail.com,DHAKA
18203,Gaibandha Technical Training Centre (TTC) Gaibandha,"Kholahati, Gaibandha Sadar, Gaibandha",1718617847,,ttcgaibandha@gmail.com,RANGPUR
18192,"Gana Unnayan Kendra. (GUK), Gaibandha","Post box 14, Gaibandha-5700,",,,info@gukbd.net,RANGPUR
53018,Gazipur Technical School and College,Gazipur,,,,DHAKA
53128,"Genisis Fashions Ltd, Gazipur",Gazipur,1709677477,,jahangirranj.alam@yahoo.com,DHAKA
99999,"Glorious Skin Care & Training Institute, Khulna","49 Cementry Road, Fulmarket, Khulna",1734086837,,glorious.institute01@gmail.com,KHULNA
45056,"Gopalgonj Technical Training Center (TTC), Gopalgonj","Gobra, Gopalganj",1865054284,,ttcgopalganj@gmail.com,DHAKA
50087,Graphic Arts Institute,Satmajid Road,,,marfatnew@gmail.com,DHAKA
50796,"Greenland Training Centre Ltd, Demra,Dhaka","Demra, Dhaka",1709990712,,it_gac@glandgroup.com,DHAKA
63005,Habiganj Technical School and College,"2 no Pool, Poddarbari Road Habiganj",,,htsch73@gmail.com,SYLHET
50960,"HB Aviation Training Center (HBATC), Dhaka","Plot-9, Section-7, Road-4, Mirpur, Dhaka-1216",1674879209,,hbaviationbd@gmail.com,DHAKA
74086,"Hotel Beach Way Training Instotute, Cox's Bazar","House # 21, Block # C, Kolatoli Road, Cox's Bazar",1814936680,,mizan.om@hotelbeachway.com,CHITTAGONG
50495,"Hotel Management & Toursim Training Institute(HMTTI), Green Road, Dhaka","Dhanmondi, Dhaka",1717002316,,bhmtti@gmail.com,DHAKA
33217,"HTN Institute of Science of Technology (HIST), Jessor","Village. Bahadurpur, Upazila , Kowatali, Jessore",,,suzan@htnbd.org,KHULNA
70311,"ICI- International Culinary Institute, Chattogram","#6A, Luxury Heights, 2092 Zakir Hossain Road, Chattogram",1974499946,,zahangir@ici.edu.bd,CHITTAGONG
19043,"IDA Computer Training Center (IDA-CTC), Panchbibi",,1716278193,,jewel_com77@yahoo.com,RAJSHAHI
50077,Ideal Institute of Science & Technology(IIST ),"105, Senpara Parbata, Mirpur-10, Dhaka",1819220091,,iist.ecc@gmail.com,DHAKA
50900,"IDEB Education and Training Institute(IETI), Dhaka","IDEB Bhaban, 160/A, Kakrail, Dhaka-1000",1626373519,,arafalabdullah3800@gmail.com,DHAKA
50949,"Imperial Hotel Management Training Institute (IHMTI), Dhaka","34, Bangabandhu, Avenue, Dhaka-1000",1915805056,,ihmtibd@gmail.com,DHAKA
33189,"IMPERIAL INSTT OF ENGG. TECHNOLOGY (IIT), JESSORE","Sector # 7, A-4, N S Town, Jessore Sadar, Jessore",1712099096,,suzan@htnbd.org,KHULNA
42044,"Infra Polytechnic Institute, Barisal","Kashipur, Barisal",,,info@infra.edu.bd,BARISAL
16057,"Institute of Engineering and Technology (IET), Rangpur","Hargacha Road, Rangpur",,,iet16057@yahoo.com,RANGPUR
50625,"Institute of Hotel Management and Hospitality, Dhanmondi, Dhaka","Hossain Plaza, House # 01, Road # 15,",,,rubinahfarouq@gmail.com,DHAKA
36108,"Institute of Marine Technology, Bagerhat","Chaitali, Baitpur, Bagerhat",1752740820,,imt.bagerhat@gmail.com,KHULNA
49031,"Institute of Marine Technology, Munshiganj","Borolia, Tongibari, Munshiganj",1816342594,,imt.munshigonj@gmail.com,DHAKA
25176,"Institute of Marine Technology, Sirajgonj","Mulibari, Soydabad, Sirajgonj",1721351731,,principalimts@gmail.com,RAJSHAHI
50901,"Institute of Mobile Phone Artisan, Hatirpool, Dhaka","7/22. Eastern Plaza Commercial Complex (6th Floor),70 Bir Uttam CR Dotto Road, Hatirpool, Dhaka",,,bodruddozajhontu@gmail.com,DHAKA
50051,Institute of Science Trade & Technology (ISTT),"CRP Bavan, Ploat-A, Mirpur-14, Dhaka-1216",,,dirictor.istt@gmail.com,DHAKA
50829,"International Culinary Institute, Dhanmondi, Dhaka","House#27/1, Road@13A, Behind Abahani Field, Dhanmondi, Dhaka-1209",,,zahangir@ici.eud.bd,DHAKA
50800,"International Training Institute of Culinary Arts (ITICA), Dhaka","House # 27/01,Road # 13 A(new), Dhanmondi R/A, Dhaka-1209",,,nazcooking@gmail.com,DHAKA
55034,Jamalpur Technical School and College,"Bozrapur, Jamalpur",1712541634,,jamalpurtsc@gmail.com,DHAKA
55072,Jamalpur Technical Training Centre (TTC),"Sadar, Jamalpur",,,,DHAKA
33113,Jessore Technical Training Center,"Nazir Sankarpur, Jessore",1923070115,,jessorettc@gmail.com,KHULNA
41017,Jhalakhati Technical School and College,"Sadar, Jhalokati",,,tecjhalokathi@gmail.com,BARISAL
41063,Jhalokhati Technical Training Centre,Jhalokhati Sadar,1517848876,,tcjhalokathi@gmail.com,BARISAL
30043,"Jhenaidaha Techical Training Center (TTC), Jhenaidaha","Kustia Road, Arappur, Jhenaidaha",1716599162,,jhenaidahattc@gmail.com,KHULNA
30043,Jhenaidha Technical Training Centre,,,,,KHULNA
19098,"Joypurhat Technical Training Center , Joypurhat",Haniail Joypurhat.,1716373394,,joypurhatttc@gmail.com,RAJSHAHI
71008,"Khagrachari Technical Training Centre (TTC), Khagrachari","Gulabari, Khagrachari",1550002687,,khgttc@gmail.com,CHITTAGONG
35109,"Khulna Mohila Technical Training Centre (KMTTC), Khulna","KUET Road, Khulna",,,kmttc2010@yahoo.com,KHULNA
35048,Khulna Polytechnic Institute,Khulna-9000,,,marfatnew@gmail.com,KHULNA
35132,Khulna Shipyard Technical Training Centre,"Khulna shipyard Ltd. Rupsa, Khulna",,,marfatnew@gmail.com,KHULNA
35021,"Khulna Technical Training Center, Khulna","Teligati, KUET,Khulna",,,ttckhu@gmail.com,KHULNA
16219,"KiK UCEP Rangpur City Corporation School, Rangpur","New Jummapara, Rangpurr Sadar Rangpur",1716947322,,zinnatul.alam@ucepbd.org,RANGPUR
16199,"KiK UCEP- Robertsongonj School, Rangpur, Rangpur","Kutiapara, Alamnagor, Rangpur",1729153736,,mohammad.hossain4@ucepbd.org,RANGPUR
51076,"KNIT Concern Group, Narayanganj","62/2, Water Workers Road, Gudnail. Narayanganj-1400",,,nasim@knitconcern.com,DHAKA
54325,"Kumudini Trade Training Institute (KTTI), Mirzapur, Tangail","Mirzapur, Tangail",1713197510,,kumudiniho@kumudini.org.bd,DHAKA
17150,"Kurigram Technical Training Center (TTC), Kurigram","Krishanpur, Kurigram",1723893327,,kurigramttc@gmail.com,RANGPUR
27023,Kustia Technical Training Center,"Chourhash, Kustia",1712585355,,kushtiattc@gmail.com,KHULNA
67018,LaxmipurTechnical Training Centre,"Masimnagar, Khailbaicha,Laxmipur",1711979417,,ttc.laxmipur@gmail.com,CHITTAGONG
63075,"Life Technical Training Institute, Habiganj","Eastern side of LGED Road, Vodoi, Habigganj Sadar",1712114158,,ngolife96@gamail.com,SYLHET
59158,"LIFE Technical Training Institute, Kishoreganj","1124/4, Janata School RoadGaital,Kishoreganj",1712114158,,ngolife96@gmail.com,DHAKA
26111,"M. Ali Technical Institute, Barisal","Bawalia, Banaripara, Barisal",,,m.ali_technicalinstitute@yahoo.com,BARISAL
42130,"M. Ali Technical Institute, Barisal","Bawalia, Banaripara, Barisal",1552492474,,m.ali_technicalinstitute@yahoo.com,BARISAL
44055,"Madaripur Technical Training Centre (TTC), Madaripur","Kumartek, Charmuguria, Madaripur",1712088229,,madaripurttc@gmail.com,DHAKA
31081,"Magura Technical Training Center(TTC), Magura","Etakhulabazar, Pachapara-7600, Magura Sadar",1712775388,,ttcmagura@gmail.com,KHULNA
35066,"Mangrove Institute of Science and Technology, Khulna","Sundarban,Khulna",1733372003,,momen.mist@yahoo.com,KHULNA
48039,Manikganj Technical School and College,Manikganj,,,tscmanikganj@gmail.com,DHAKA
48094,Manikganj Technical Training Center,"55, East Bandutia, Beautha, Manikganj",1726020454,,ttcmanikgonj2016@gmail.com,DHAKA
50527,"Master Chef Institute Bangladesh , Malibag Rail Gate, Ramna, Dhaka","507 D.I.T Road (2nd Floor) Malibag Rail Gate, Ramna, Dhaka",1913566547,,masterchefins@gmail.com,DHAKA
28044,Meherpur Technical Training Center,"Kustia Road, Meherpur",1913918537,,meherpurttc@gmail.com,KHULNA
12074,"Minal Computer Training Acadamy (MCTA), Thakurgaon.","Sarkarpara, Thakurgaon Sadar, Thakurgaon",1712388208,,stepminal12@gmail.com,RANGPUR
50541,Mirpur Agriculture Workshop & Training School(MAWTS),"Pallabi, Mirpur Dhaka",,,mawts@carlt asmc.org,DHAKA
50091,Mirpur Institute of Science & Technology (MIST),"34-Jamal Mansion, 2nd, 3rd, 4th floor, Mirpur-10, Dhaka-1216",,,mist_mirpur@yahoo.com,DHAKA
42009,"Mishuk Training Academy (MTA), Barishal","Barishal, Ekanto Apon, Plot# 430, 2nd Floor, Woard No# 04, Kaunia, Barishal,",1715116573,,"mishukacademy21@gmail.com,",BARISAL
59999,Mohammadi Group Niche Stich Ltd,"Plot:3929, Dogri, Bhawal Mirjapur",,,rouf@mohammadigroup.com,DHAKA
53149,"Mohammadi Group Niche Stitch Limited, Bhawal, Mirzapur,Gazipur","Dogri, Bhawal Mirzapur, Gazipur",1755639074,,rouf@mohammadiagroup.com,DHAKA
35064,"Mohila Polytechnic Institute, Khulna","Khalispur , Khulna",1716368649,,kmpi.edu@gmail.com,KHULNA
14142,"Mollah Technical Training Centre, Nilphamary","Chaitali, Baitpur, Bagerhat",1752740820,,imt.bagerhat@gmail.com,KHULNA
53087,Montage Training and Certification,"Bsic Industrial Area, Tongi, Gazipur",1914861046,,montagebd@yahoo.com,DHAKA
